236,1158	179,1171	156,1039	206,1041
745,310	692,340	632,219	684,205
295,645	251,606	347,511	377,556
1478,772	1421,785	1398,653	1448,655
215,834	161,810	223,692	265,724
770,808	823,791	857,918	803,921
258,326	277,379	149,414	144,366
1206,1105	1177,1057	1293,995	1308,1045
943,477	913,425	1033,365	1047,415
869,1130	816,1150	777,1024	830,1021
941,657	889,684	834,563	886,550
557,524	505,551	450,430	502,417
1351,250	1390,292	1284,375	1261,329
452,125	491,167	385,250	362,204
1549,162	1497,133	1566,19	1606,55
1263,184	1235,236	1123,165	1158,126
779,631	772,686	641,660	661,612
871,499	824,530	756,416	805,401
511,991	568,988	566,1121	515,1109
487,337	492,284	623,305	605,350
731,97	738,154	603,159	612,108
1532,983	1525,1038	1394,1012	1414,964
119,422	169,453	87,559	54,521
1505,804	1562,796	1573,929	1523,922
979,727	976,675	1108,675	1096,726
966,1036	990,988	1104,1054	1069,1091
1596,575	1545,605	1479,486	1531,470
1202,831	1174,783	1294,724	1306,773
638,1001	618,949	744,907	750,958
564,844	610,880	520,978	489,936
1060,562	1084,514	1198,580	1163,617
967,231	947,281	827,225	859,183
693,738	713,791	587,829	582,778
238,975	216,924	343,881	349,931
1344,426	1367,479	1241,528	1232,476
1664,266	1677,324	1543,344	1546,290
338,788	362,740	476,806	441,843
1125,302	1101,349	986,286	1020,248
317,80	324,137	189,142	198,91
1049,862	1042,917	911,891	931,843
144,924	148,978	17,980	26,929
1396,257	1391,202	1523,195	1514,245
489,734	435,727	457,598	505,616
118,253	67,278	17,153	68,145
207,607	218,661	85,678	90,628
1103,933	1120,881	1247,935	1216,974
1610,1144	1551,1139	1570,1007	1619,1025
1282,563	1336,563	1326,695	1281,681
1381,404	1394,346	1525,388	1498,434
304,388	305,330	440,339	425,390
1625,656	1654,704	1538,763	1524,715
703,1106	710,1163	575,1168	584,1117
801,138	771,86	891,26	905,76
740,426	737,483	601,466	619,417
964,71	994,22	1106,100	1069,134
1302,108	1303,50	1438,59	1423,110
397,1118	339,1110	364,980	413,1000
1122,363	1131,307	1261,336	1241,382
1305,903	1314,847	1444,876	1424,922
1466,534	1492,582	1370,636	1360,585
336,278	284,305	229,184	281,171
1348,1115	1353,1062	1484,1083	1466,1128
471,68	499,18	613,95	577,129
142,782	152,839	18,859	21,807
69,1030	123,1030	113,1162	68,1148
